"id","comment","id_user","id_product"
"123","Donec posuere metus vitae ipsum. Aliquam non mauris.","454","1386"
"124","Vestibulum ac est lacinia nisi venenatis tristique.","665","684"
"125","Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.","538","1599"
"126","Quisque id justo sit amet sapien dignissim vestibulum.","788","922"
"127","Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.","418","1628"
"128","Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.","106","1880"
"129","Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.","836","145"
"130","Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.","702","1187"
"131","Duis bibendum. Morbi non quam nec dui luctus rutrum.","273","1443"
"132","Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.","375","267"
"133","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.","695","665"
"134","Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.","173","1272"
"135","Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.","900","1905"
"136","Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.","301","1240"
"137","Donec vitae nisi.","514","1623"
"138","Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.","691","1391"
"139","Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.","77","510"
"140","Maecenas rhoncus aliquam lacus.","353","789"
"141","Maecenas pulvinar lobortis est. Phasellus sit amet erat.","202","1072"
"142","Nunc purus. Phasellus in felis.","306","853"
"143","Integer a nibh. In quis justo.","987","364"
"144","In hac habitasse platea dictumst.","693","820"
"145","Nulla ac enim.","777","1042"
"146","Donec ut dolor.","400","629"
"147","Aenean sit amet justo.","115","649"
"148","Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.","946","1112"
"149","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.","446","1768"
"150","Sed ante. Vivamus tortor.","324","296"
"151","Donec posuere metus vitae ipsum. Aliquam non mauris.","962","1167"
"152","Morbi ut odio.","123","532"
"153","Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.","737","886"
"154","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.","423","306"
"155","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.","327","1182"
"156","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.","969","673"
"157","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.","436","836"
"158","Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.","206","1338"
"159","Vivamus in felis eu sapien cursus vestibulum.","976","1678"
"160","In blandit ultrices enim.","703","1932"
"161","Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.","825","1151"
"162","In eleifend quam a odio. In hac habitasse platea dictumst.","535","1756"
"163","Phasellus id sapien in sapien iaculis congue.","811","1594"
"164","Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.","814","1326"
"165","Mauris ullamcorper purus sit amet nulla.","140","97"
"166","Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.","503","1314"
"167","Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.","759","523"
"168","Nunc purus. Phasellus in felis. Donec semper sapien a libero.","331","1778"
"169","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","643","241"
"170","Ut at dolor quis odio consequat varius.","98","1259"
"171","Aliquam quis turpis eget elit sodales scelerisque.","9","1703"
"172","Phasellus sit amet erat. Nulla tempus.","367","588"
"173","Nulla suscipit ligula in lacus.","923","311"
"174","Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.","328","109"
"175","Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.","594","1233"
"176","Integer tincidunt ante vel ipsum.","586","1564"
"177","In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.","303","1063"
"178","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.","285","998"
"179","Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","92","680"
"180","Nullam sit amet turpis elementum ligula vehicula consequat.","433","295"
"181","Nullam varius.","262","1293"
"182","Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.","208","1752"
"183","Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","113","328"
"184","Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","395","1029"
"185","Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.","459","1078"
"186","Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.","465","75"
"187","Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.","816","858"
"188","Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.","605","986"
"189","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.","323","430"
"190","Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.","976","1271"
"191","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.","648","343"
"192","Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.","649","1818"
"193","Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.","768","976"
"194","Vestibulum ac est lacinia nisi venenatis tristique.","9","644"
"195","Nulla tellus.","577","1727"
"196","Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.","441","620"
"197","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.","632","1158"
"198","Nulla mollis molestie lorem. Quisque ut erat.","812","1337"
"199","Morbi a ipsum.","719","77"
"200","Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.","456","1457"
"201","In quis justo.","100","1565"
"202","Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.","639","1267"
"203","Sed ante.","182","818"
"204","Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.","778","505"
"205","Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.","330","589"
"206","Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","221","1343"
"207","Sed accumsan felis.","287","1957"
"208","Maecenas tincidunt lacus at velit.","10","1676"
"209","Curabitur at ipsum ac tellus semper interdum.","347","1460"
"210","Curabitur in libero ut massa volutpat convallis.","20","659"
"211","Aenean lectus. Pellentesque eget nunc.","804","1369"
"212","Nam tristique tortor eu pede.","761","1541"
"213","Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.","218","1580"
"214","Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.","162","540"
"215","Phasellus sit amet erat.","251","597"
"216","Suspendisse accumsan tortor quis turpis.","639","1910"
"217","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.","206","263"
"218","Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","760","943"
"219","Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.","916","1700"
"220","Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","387","1554"
"221","Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.","870","828"
"222","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.","602","175"
"223","Maecenas tincidunt lacus at velit.","689","418"
"224","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.","569","1033"
"225","Morbi quis tortor id nulla ultrices aliquet.","221","1460"
"226","Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.","641","1932"
"227","Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.","293","508"
"228","Nulla tellus. In sagittis dui vel nisl.","849","832"
"229","Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.","995","1789"
"230","Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.","644","1223"
"231","Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.","967","156"
"232","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.","749","1016"
"233","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.","44","1051"
"234","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.","632","567"
"235","Phasellus in felis. Donec semper sapien a libero. Nam dui.","548","1311"
"236","Fusce consequat. Nulla nisl.","474","782"
"237","In congue. Etiam justo. Etiam pretium iaculis justo.","454","1684"
"238","Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.","84","807"
"239","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.","87","474"
"240","Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.","381","559"
"241","Pellentesque ultrices mattis odio.","999","1167"
"242","Quisque ut erat. Curabitur gravida nisi at nibh.","38","642"
"243","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.","267","233"
"244","Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.","999","319"
"245","Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.","996","49"
"246","In sagittis dui vel nisl. Duis ac nibh.","731","228"
"247","Donec posuere metus vitae ipsum. Aliquam non mauris.","288","1531"
"248","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.","172","1900"
"249","Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.","335","1238"
"250","Donec dapibus. Duis at velit eu est congue elementum.","680","1145"
"251","Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.","740","1515"
"252","Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.","59","1930"
"253","Maecenas pulvinar lobortis est. Phasellus sit amet erat.","105","1618"
"254","Proin leo odio, porttitor id, consequat in, consequat ut, nulla.","422","280"
"255","Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.","777","575"
"256","Duis bibendum. Morbi non quam nec dui luctus rutrum.","830","964"
"257","In hac habitasse platea dictumst. Etiam faucibus cursus urna.","169","250"
"258","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.","797","486"
"259","Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.","707","502"
"260","Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.","591","528"
"261","Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.","606","457"
"262","Integer ac leo. Pellentesque ultrices mattis odio.","660","793"
"263","Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.","541","94"
"264","Etiam pretium iaculis justo. In hac habitasse platea dictumst.","398","1280"
"265","Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.","836","1905"
"266","Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.","821","318"
"267","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.","231","1803"
"268","Integer ac leo.","370","983"
"269","Duis bibendum.","716","415"
"270","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.","865","243"
"271","Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.","534","1907"
"272","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.","504","35"
"273","Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.","25","1187"
"274","Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.","830","1255"
"275","In quis justo. Maecenas rhoncus aliquam lacus.","763","1156"
"276","Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","20","1212"
"277","Vestibulum ac est lacinia nisi venenatis tristique.","500","591"
"278","Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.","343","1811"
