"id","name","price","description","color","size","stock","promo","fidelityPoint","createAt","updateAt","id_category","id_user"
"16","Crackers - Soda / Saltins","41.08","Etiam vel augue. Vestibulum rutrum rutrum neque. A","Indigo","L","17","3973920761","48","2021-04-03 00:00:00","2020-08-20 00:00:00","9","59"
"17","Gingerale - Schweppes, 355 Ml","65.48","Vestibulum ac est lacinia nisi venenatis tristique","Pink","2XL","53","5847028067","10","2020-04-03 00:00:00","2020-04-07 00:00:00","152","38"
"18","White Baguette","48.84","Proin interdum mauris non ligula pellentesque ultr","Goldenrod","S","95","4481131357","33","2020-03-11 00:00:00","2020-09-02 00:00:00","21","66"
"19","Guava","85.92","Cum sociis natoque penatibus et magnis dis parturi","Goldenrod","L","84","9407917150","29","2020-09-02 00:00:00","2020-09-30 00:00:00","154","56"
"20","Sprite, Diet - 355ml","81.54","Aenean fermentum. Donec ut mauris eget massa tempo","Yellow","XL","24","9269582612","47","2021-10-01 00:00:00","2020-09-09 00:00:00","145","25"
"21","Bag Stand","89.38","Duis bibendum, felis sed interdum venenatis, turpi","Red","XS","89","3570193934","35","2020-11-18 00:00:00","2020-12-05 00:00:00","36","89"
"22","Egg Patty Fried","78.87","Sed sagittis. Nam congue, risus semper porta volut","Orange","M","98","5659997821","32","2021-10-12 00:00:00","2020-05-31 00:00:00","148","58"
"23","Carbonated Water - White Grape","95.21","Praesent blandit. Nam nulla. Integer pede justo, l","Violet","S","56","6978240567","24","2020-03-06 00:00:00","2020-06-23 00:00:00","50","2"
"24","Rice - 7 Grain Blend","99.04","Nam ultrices, libero non mattis pulvinar, nulla pe","Purple","L","15","6684383530","8","2020-11-29 00:00:00","2021-06-21 00:00:00","131","7"
"25","Ice Cream - Chocolate","22.63","Morbi non lectus. Aliquam sit amet diam in magna b","Mauv","2XL","20","4424538176","30","2021-07-04 00:00:00","2021-08-05 00:00:00","49","66"
"26","Cleaner - Lime Away","73.46","Morbi non lectus. Aliquam sit amet diam in magna b","Yellow","XL","13","4132245462","33","2021-10-28 00:00:00","2020-04-04 00:00:00","33","31"
"27","Gatorade - Fruit Punch","57.31","Proin interdum mauris non ligula pellentesque ultr","Pink","2XL","51","2267729989","22","2020-05-16 00:00:00","2021-01-20 00:00:00","134","79"
"28","Cheese - Gorgonzola","15.84","Aenean lectus. Pellentesque eget nunc. Donec quis ","Green","M","12","7553107948","9","2021-08-03 00:00:00","2020-12-22 00:00:00","36","10"
"29","Cookies - Englishbay Wht","77.39","Vestibulum quam sapien, varius ut, blandit non, in","Goldenrod","L","76","1732454272","24","2021-06-25 00:00:00","2021-08-27 00:00:00","8","24"
"30","Oil - Shortening,liqud, Fry","38.19","Donec diam neque, vestibulum eget, vulputate ut, u","Pink","L","48","8033412038","47","2020-04-03 00:00:00","2021-08-05 00:00:00","1","52"
"31","Garam Marsala","61.06","Integer tincidunt ante vel ipsum. Praesent blandit","Maroon","XL","51","1350662348","36","2021-12-16 00:00:00","2020-12-26 00:00:00","27","57"
"32","Cream - 18%","30.46","Phasellus sit amet erat. Nulla tempus. Vivamus in ","Khaki","L","94","0680271287","21","2021-03-12 00:00:00","2020-10-28 00:00:00","32","87"
"33","Cheese - La Sauvagine","24.12","Integer ac leo. Pellentesque ultrices mattis odio.","Puce","S","57","4345700221","34","2020-10-30 00:00:00","2020-07-05 00:00:00","146","50"
"34","Mix - Cocktail Strawberry Daiquiri","22.74","Aenean lectus. Pellentesque eget nunc. Donec quis ","Pink","M","42","7380477188","12","2021-01-01 00:00:00","2021-04-29 00:00:00","54","33"
"35","Vanilla Beans","25.50","Suspendisse potenti. In eleifend quam a odio. In h","Green","XL","64","4957273766","41","2020-10-23 00:00:00","2021-05-08 00:00:00","56","6"
"36","Cookie Trail Mix","7.44","Morbi non lectus. Aliquam sit amet diam in magna b","Turquoise","2XL","99","1390900460","25","2021-07-04 00:00:00","2021-10-23 00:00:00","144","18"
"37","Pernod","53.05","Nullam porttitor lacus at turpis. Donec posuere me","Green","3XL","39","8045553790","42","2020-09-20 00:00:00","2020-05-12 00:00:00","14","25"
"38","Vaccum Bag - 14x20","86.23","Cras mi pede, malesuada in, imperdiet et, commodo ","Mauv","S","38","1454694823","50","2020-04-24 00:00:00","2021-06-05 00:00:00","146","9"
"39","Chicken - Breast, 5 - 7 Oz","40.29","Phasellus in felis. Donec semper sapien a libero. ","Fuscia","L","56","4964024865","7","2021-06-13 00:00:00","2022-01-02 00:00:00","45","91"
"40","Bread - Pumpernickel","20.86","Phasellus in felis. Donec semper sapien a libero. ","Blue","M","101","0218321031","31","2021-04-16 00:00:00","2021-05-15 00:00:00","127","78"
"41","Bread - Petit Baguette","69.18","Curabitur in libero ut massa volutpat convallis. M","Crimson","XS","28","2284087728","18","2020-10-10 00:00:00","2021-01-22 00:00:00","61","63"
"42","Ecolab Crystal Fusion","101.93","In sagittis dui vel nisl. Duis ac nibh. Fusce lacu","Violet","M","74","7686385507","27","2021-01-27 00:00:00","2020-08-03 00:00:00","123","56"
"43","Cheese - Parmigiano Reggiano","22.72","Duis aliquam convallis nunc. Proin at turpis a ped","Teal","2XL","67","4709048681","20","2021-02-09 00:00:00","2020-11-06 00:00:00","11","8"
"44","Croissants Thaw And Serve","20.78","In congue. Etiam justo. Etiam pretium iaculis just","Indigo","L","18","1802836829","33","2021-02-19 00:00:00","2020-07-25 00:00:00","28","79"
"45","Ecolab - Lime - A - Way 4/4 L","16.51","Duis bibendum, felis sed interdum venenatis, turpi","Violet","M","29","2433180155","25","2020-02-22 00:00:00","2021-10-21 00:00:00","155","75"
"46","Pork - Smoked Kassler","58.93","Morbi porttitor lorem id ligula. Suspendisse ornar","Purple","XS","46","6817965667","11","2020-01-28 00:00:00","2020-06-12 00:00:00","156","72"
"47","Turkey Tenderloin Frozen","19.02","In hac habitasse platea dictumst. Morbi vestibulum","Blue","2XL","32","2649479752","10","2020-02-29 00:00:00","2020-07-30 00:00:00","119","28"
"48","Wine - White, Riesling, Henry Of","24.62","Maecenas leo odio, condimentum id, luctus nec, mol","Teal","XS","94","8506189446","13","2020-05-21 00:00:00","2021-09-29 00:00:00","2","71"
"49","Green Scrubbie Pad H.duty","24.18","Nullam sit amet turpis elementum ligula vehicula c","Goldenrod","M","52","3048529330","14","2020-03-01 00:00:00","2021-03-06 00:00:00","51","30"
"50","Chinese Lemon Pork","22.71","Praesent blandit. Nam nulla. Integer pede justo, l","Crimson","XL","50","7173502144","7","2021-05-13 00:00:00","2020-06-06 00:00:00","56","38"
"51","Langers - Cranberry Cocktail","79.28","Donec diam neque, vestibulum eget, vulputate ut, u","Red","M","66","4067186789","40","2021-05-28 00:00:00","2021-06-23 00:00:00","122","87"
"52","Cheese - Gorgonzola","64.25","Praesent blandit. Nam nulla. Integer pede justo, l","Teal","L","14","6232883918","30","2021-12-05 00:00:00","2021-04-07 00:00:00","42","20"
"53","Syrup - Monin - Passion Fruit","12.36","Duis bibendum. Morbi non quam nec dui luctus rutru","Mauv","L","57","8735304316","11","2021-10-15 00:00:00","2020-08-27 00:00:00","61","74"
"54","Cheese - Manchego, Spanish","55.67","Morbi non lectus. Aliquam sit amet diam in magna b","Teal","XS","18","9955789182","19","2020-05-14 00:00:00","2021-05-21 00:00:00","8","4"
"55","Tart Shells - Sweet, 4","85.00","Curabitur in libero ut massa volutpat convallis. M","Teal","L","60","9333734996","36","2021-08-12 00:00:00","2020-07-16 00:00:00","52","59"
"56","Veal - Loin","51.38","In hac habitasse platea dictumst. Etiam faucibus c","Turquoise","XL","7","3345209578","43","2020-06-29 00:00:00","2021-08-11 00:00:00","27","67"
"57","Pepper Squash","72.10","In sagittis dui vel nisl. Duis ac nibh. Fusce lacu","Teal","XS","30","9029005009","49","2021-02-03 00:00:00","2020-10-09 00:00:00","7","23"
"58","Soup - French Can Pea","101.82","Vestibulum quam sapien, varius ut, blandit non, in","Khaki","S","28","9586609588","5","2020-08-18 00:00:00","2020-12-02 00:00:00","31","89"
"59","Cheese - Bakers Cream Cheese","26.89","Mauris enim leo, rhoncus sed, vestibulum sit amet,","Mauv","M","21","2215693045","21","2021-06-25 00:00:00","2021-04-28 00:00:00","131","83"
"60","Carbonated Water - Strawberry","6.34","Phasellus in felis. Donec semper sapien a libero. ","Crimson","M","47","2347781057","43","2021-11-27 00:00:00","2022-01-07 00:00:00","27","10"
"61","Pastry - Chocolate Chip Muffin","77.67","Morbi non lectus. Aliquam sit amet diam in magna b","Blue","XS","48","4907753276","48","2020-10-08 00:00:00","2021-10-01 00:00:00","59","18"
"62","Lettuce - Frisee","37.64","Fusce posuere felis sed lacus. Morbi sem mauris, l","Crimson","L","44","2333508876","22","2022-01-06 00:00:00","2020-09-07 00:00:00","11","74"
"63","Garlic Powder","86.66","Phasellus sit amet erat. Nulla tempus. Vivamus in ","Turquoise","L","18","8534490716","35","2020-07-13 00:00:00","2021-06-29 00:00:00","3","73"
"64","Lamb - Whole Head Off,nz","7.99","Aliquam quis turpis eget elit sodales scelerisque.","Khaki","XS","15","3473742953","20","2020-03-13 00:00:00","2021-09-17 00:00:00","151","71"
"65","Bread Cranberry Foccacia","90.81","Etiam vel augue. Vestibulum rutrum rutrum neque. A","Violet","M","68","4227557054","5","2020-08-31 00:00:00","2021-10-18 00:00:00","6","60"
"66","Pepper - Julienne, Frozen","39.54","Cras non velit nec nisi vulputate nonummy. Maecena","Purple","XL","29","1962689654","38","2021-06-16 00:00:00","2021-08-22 00:00:00","43","47"
"67","Magnotta - Bel Paese White","95.71","Integer tincidunt ante vel ipsum. Praesent blandit","Indigo","2XL","74","5183902569","20","2020-02-25 00:00:00","2020-05-06 00:00:00","16","89"
"68","Tilapia - Fillets","49.83","Proin eu mi. Nulla ac enim. In tempor, turpis nec ","Goldenrod","3XL","86","4036880640","31","2020-11-11 00:00:00","2021-06-03 00:00:00","128","4"
"69","Cake - Lemon Chiffon","35.55","Etiam vel augue. Vestibulum rutrum rutrum neque. A","Yellow","S","66","7742941287","45","2020-06-02 00:00:00","2021-07-28 00:00:00","152","56"
"70","Gin - Gilbeys London, Dry","19.53","Vestibulum quam sapien, varius ut, blandit non, in","Yellow","L","22","9635547935","26","2021-05-15 00:00:00","2021-10-11 00:00:00","135","58"
"71","Salt - Rock, Course","99.40","In hac habitasse platea dictumst. Morbi vestibulum","Crimson","XL","22","4127658045","14","2020-07-13 00:00:00","2021-08-15 00:00:00","41","62"
"72","Ginsing - Fresh","66.90","Donec diam neque, vestibulum eget, vulputate ut, u","Crimson","S","36","6886516728","34","2021-03-31 00:00:00","2020-06-12 00:00:00","37","46"
"73","Chicken - Whole Roasting","45.98","Aenean lectus. Pellentesque eget nunc. Donec quis ","Green","L","85","7749527745","17","2021-03-30 00:00:00","2020-11-09 00:00:00","151","32"
"74","Vermouth - White, Cinzano","87.08","Duis aliquam convallis nunc. Proin at turpis a ped","Aquamarine","S","69","3489690354","36","2020-08-18 00:00:00","2020-06-29 00:00:00","136","32"
"75","Nut - Macadamia","67.86","In congue. Etiam justo. Etiam pretium iaculis just","Turquoise","S","36","3806927286","35","2021-02-07 00:00:00","2020-11-29 00:00:00","120","41"
"76","Calaloo","14.40","Lorem ipsum dolor sit amet, consectetuer adipiscin","Crimson","M","54","8681244736","11","2020-10-10 00:00:00","2020-04-01 00:00:00","33","17"
"77","Oil - Shortening - All - Purpose","42.73","Maecenas ut massa quis augue luctus tincidunt. Nul","Violet","M","91","9578457081","12","2020-09-30 00:00:00","2020-11-16 00:00:00","144","29"
"78","Egg - Salad Premix","5.82","Duis bibendum. Morbi non quam nec dui luctus rutru","Aquamarine","M","7","8586349518","45","2020-01-27 00:00:00","2020-06-20 00:00:00","25","94"
"79","Bread - Calabrese Baguette","85.10","Quisque id justo sit amet sapien dignissim vestibu","Crimson","M","38","8269127531","12","2020-03-26 00:00:00","2020-12-15 00:00:00","16","42"
"80","Appetizer - Seafood Assortment","91.11","Maecenas ut massa quis augue luctus tincidunt. Nul","Violet","XS","18","1075160847","41","2020-08-25 00:00:00","2021-11-20 00:00:00","132","46"
"81","Pan Grease","54.15","Proin interdum mauris non ligula pellentesque ultr","Mauv","XL","69","3936030847","43","2022-01-14 00:00:00","2020-12-29 00:00:00","38","52"
"82","Peas - Pigeon, Dry","95.56","Proin interdum mauris non ligula pellentesque ultr","Puce","XL","7","6256317343","5","2020-09-14 00:00:00","2021-10-28 00:00:00","134","16"
"83","Sauce - Apple, Unsweetened","53.61","Morbi non lectus. Aliquam sit amet diam in magna b","Crimson","L","73","8691796979","11","2020-12-17 00:00:00","2021-07-19 00:00:00","53","85"
"84","Beer - Camerons Cream Ale","60.51","In hac habitasse platea dictumst. Etiam faucibus c","Goldenrod","2XL","50","3327561087","41","2020-07-14 00:00:00","2021-02-21 00:00:00","38","39"
"85","Crab Brie In Phyllo","48.65","Maecenas ut massa quis augue luctus tincidunt. Nul","Aquamarine","XS","15","9983671999","32","2020-05-03 00:00:00","2020-06-10 00:00:00","30","15"
"86","Juice - Clamato, 341 Ml","54.72","Sed sagittis. Nam congue, risus semper porta volut","Puce","L","37","1297932544","35","2020-03-29 00:00:00","2020-04-13 00:00:00","119","89"
"87","Duck - Legs","61.32","Duis aliquam convallis nunc. Proin at turpis a ped","Blue","XL","3","5340547981","21","2020-11-10 00:00:00","2020-05-22 00:00:00","1","7"
"88","Wine - Savigny - Les - Beaune","102.50","Vestibulum ac est lacinia nisi venenatis tristique","Puce","S","45","8322463146","46","2021-02-22 00:00:00","2021-02-20 00:00:00","20","69"
"89","Cattail Hearts","20.99","Mauris enim leo, rhoncus sed, vestibulum sit amet,","Red","3XL","82","8857994163","8","2021-07-05 00:00:00","2021-07-19 00:00:00","43","97"
"90","Cheese - Augre Des Champs","49.28","Duis consequat dui nec nisi volutpat eleifend. Don","Yellow","S","74","3539723382","50","2021-11-08 00:00:00","2022-01-11 00:00:00","143","1"
"91","Pepper - Red, Finger Hot","23.96","Proin eu mi. Nulla ac enim. In tempor, turpis nec ","Yellow","M","85","7486233770","46","2021-12-16 00:00:00","2021-10-21 00:00:00","140","57"
"92","Juice - Orange","33.49","Phasellus in felis. Donec semper sapien a libero. ","Aquamarine","L","63","6528601461","28","2021-02-18 00:00:00","2021-06-15 00:00:00","147","60"
"93","Horseradish Root","41.24","Praesent blandit. Nam nulla. Integer pede justo, l","Pink","3XL","75","5276186413","23","2021-09-22 00:00:00","2021-05-01 00:00:00","48","69"
"94","Berry Brulee","10.22","Maecenas leo odio, condimentum id, luctus nec, mol","Fuscia","3XL","71","8537736589","33","2020-11-25 00:00:00","2021-03-13 00:00:00","115","46"
"95","Chevril","81.03","Sed sagittis. Nam congue, risus semper porta volut","Goldenrod","2XL","6","3908220173","37","2021-01-20 00:00:00","2021-11-01 00:00:00","27","24"
"96","Juice - Cranberry, 341 Ml","17.96","Etiam vel augue. Vestibulum rutrum rutrum neque. A","Fuscia","2XL","50","7477741645","9","2021-06-22 00:00:00","2021-04-18 00:00:00","132","65"
"97","Veal - Sweetbread","44.94","Phasellus in felis. Donec semper sapien a libero. ","Teal","S","52","3184783502","10","2020-06-09 00:00:00","2020-10-22 00:00:00","122","45"
"98","Spice - Onion Powder Granulated","58.51","Duis aliquam convallis nunc. Proin at turpis a ped","Fuscia","XL","29","0237644207","6","2021-06-13 00:00:00","2021-12-08 00:00:00","1","41"
"99","Tomatoes - Heirloom","71.88","Fusce consequat. Nulla nisl. Nunc nisl.

Duis bi","Crimson","XS","15","9221228932","19","2021-10-04 00:00:00","2021-02-26 00:00:00","156","7"
"100","Oil - Avocado","34.83","Morbi porttitor lorem id ligula. Suspendisse ornar","Green","2XL","56","7672045938","8","2021-02-19 00:00:00","2021-03-16 00:00:00","18","85"
"101","Wine - Sicilia Igt Nero Avola","64.92","Nulla ut erat id mauris vulputate elementum. Nulla","Blue","S","25","0261333054","33","2021-12-17 00:00:00","2021-12-01 00:00:00","5","51"
"102","Soup - Campbells Mac N Cheese","47.57","In congue. Etiam justo. Etiam pretium iaculis just","Turquoise","XL","62","1007461365","46","2022-01-07 00:00:00","2020-04-07 00:00:00","131","1"
"103","Lettuce - Boston Bib","30.08","Suspendisse potenti. In eleifend quam a odio. In h","Red","2XL","45","8958921501","49","2020-10-02 00:00:00","2021-06-02 00:00:00","48","29"
"104","Flour - Bread","41.77","Suspendisse potenti. In eleifend quam a odio. In h","Goldenrod","XS","78","9535549936","32","2021-08-22 00:00:00","2021-01-14 00:00:00","15","96"
"105","Nantucket - Orange Mango Cktl","7.41","Suspendisse potenti. In eleifend quam a odio. In h","Mauv","M","24","0320842649","15","2020-10-17 00:00:00","2021-08-22 00:00:00","150","69"
"106","Roe - White Fish","90.71","Cras non velit nec nisi vulputate nonummy. Maecena","Pink","M","103","1223356590","20","2021-12-07 00:00:00","2020-11-10 00:00:00","134","37"
"107","Sugar - Brown, Individual","26.07","Praesent blandit. Nam nulla. Integer pede justo, l","Violet","M","13","1299360793","45","2021-02-26 00:00:00","2021-06-02 00:00:00","152","40"
"108","Curry Paste - Madras","97.24","In congue. Etiam justo. Etiam pretium iaculis just","Puce","3XL","28","0551210680","48","2021-01-08 00:00:00","2021-07-19 00:00:00","24","33"
"109","Pastry - Plain Baked Croissant","28.28","Proin interdum mauris non ligula pellentesque ultr","Indigo","3XL","50","3978539713","36","2021-06-26 00:00:00","2021-09-14 00:00:00","33","100"
"110","Pickle - Dill","65.29","Praesent id massa id nisl venenatis lacinia. Aenea","Purple","XS","74","1154320537","8","2021-05-10 00:00:00","2021-10-17 00:00:00","131","65"
"111","Trueblue - Blueberry","88.41","Cum sociis natoque penatibus et magnis dis parturi","Goldenrod","XS","64","6626242954","41","2021-01-05 00:00:00","2020-11-05 00:00:00","20","94"
"112","Soup - Campbells Chicken","101.49","Morbi porttitor lorem id ligula. Suspendisse ornar","Blue","S","44","4717517288","12","2020-08-30 00:00:00","2020-05-14 00:00:00","32","49"
"113","Pear - Halves","20.12","Phasellus in felis. Donec semper sapien a libero. ","Fuscia","2XL","79","0018884245","42","2020-08-26 00:00:00","2021-11-03 00:00:00","123","6"
"114","Guava","102.15","Proin interdum mauris non ligula pellentesque ultr","Goldenrod","XL","15","7826211638","8","2021-03-23 00:00:00","2020-09-26 00:00:00","115","96"
"115","Kirsch - Schloss","65.61","Fusce posuere felis sed lacus. Morbi sem mauris, l","Pink","XL","30","4634162946","30","2020-03-27 00:00:00","2021-06-20 00:00:00","45","99"
"116","Chilli Paste, Ginger Garlic","92.80","Duis consequat dui nec nisi volutpat eleifend. Don","Yellow","XL","26","1372768548","22","2021-09-01 00:00:00","2021-10-14 00:00:00","41","3"
"117","Pepsi, 355 Ml","80.23","Suspendisse potenti. In eleifend quam a odio. In h","Yellow","2XL","87","7214677407","17","2020-11-13 00:00:00","2020-09-11 00:00:00","16","3"
"118","Bread - Crumbs, Bulk","45.89","Nullam porttitor lacus at turpis. Donec posuere me","Aquamarine","L","26","2306692831","19","2020-05-11 00:00:00","2021-12-09 00:00:00","31","45"
"119","Octopus","68.93","Duis bibendum. Morbi non quam nec dui luctus rutru","Teal","XS","9","4859193458","7","2021-08-12 00:00:00","2020-03-18 00:00:00","150","30"
"120","Tuna - Sushi Grade","20.34","Maecenas leo odio, condimentum id, luctus nec, mol","Fuscia","2XL","23","9290163062","44","2021-03-11 00:00:00","2021-12-09 00:00:00","138","89"
"121","Nescafe - Frothy French Vanilla","36.35","Vestibulum ac est lacinia nisi venenatis tristique","Purple","2XL","7","5521426175","12","2021-11-22 00:00:00","2021-07-19 00:00:00","3","42"
"122","Bread - Malt","83.50","Phasellus sit amet erat. Nulla tempus. Vivamus in ","Red","XS","49","8231263942","32","2021-10-04 00:00:00","2022-01-06 00:00:00","27","8"
"123","Pickle - Dill","88.27","Integer ac leo. Pellentesque ultrices mattis odio.","Violet","M","51","3719027708","17","2021-07-19 00:00:00","2021-10-20 00:00:00","138","5"
"124","Skirt - 29 Foot","63.00","Aenean lectus. Pellentesque eget nunc. Donec quis ","Fuscia","3XL","24","7578435876","46","2021-11-11 00:00:00","2021-07-21 00:00:00","36","33"
"125","Table Cloth 54x54 Colour","67.37","Phasellus sit amet erat. Nulla tempus. Vivamus in ","Red","3XL","74","6770434822","37","2021-08-31 00:00:00","2021-01-17 00:00:00","45","69"
"126","Sachet","57.80","Vestibulum quam sapien, varius ut, blandit non, in","Fuscia","L","62","2640146351","7","2020-03-16 00:00:00","2021-05-25 00:00:00","143","80"
"127","Soup - Campbells Mushroom","10.79","Duis aliquam convallis nunc. Proin at turpis a ped","Purple","3XL","48","6286353615","50","2020-01-21 00:00:00","2020-07-23 00:00:00","120","98"
"128","Pie Shells 10","41.76","Aliquam quis turpis eget elit sodales scelerisque.","Yellow","M","31","2014417148","13","2021-11-13 00:00:00","2021-05-23 00:00:00","121","41"
"129","Strawberries - California","75.92","Vestibulum quam sapien, varius ut, blandit non, in","Fuscia","XS","102","5329579988","19","2021-06-15 00:00:00","2020-09-27 00:00:00","25","61"
"130","Cheese - Bocconcini","8.86","Donec diam neque, vestibulum eget, vulputate ut, u","Maroon","S","101","9145532575","29","2020-05-10 00:00:00","2021-12-01 00:00:00","140","78"
"131","Monkfish - Fresh","14.24","Proin interdum mauris non ligula pellentesque ultr","Red","2XL","14","7804662807","6","2021-04-20 00:00:00","2021-03-15 00:00:00","115","33"
"132","Icecream - Dstk Strw Chseck","38.45","Donec diam neque, vestibulum eget, vulputate ut, u","Khaki","M","30","7491573711","12","2021-11-13 00:00:00","2021-04-17 00:00:00","24","8"
"133","Beef - Tenderloin","55.89","Etiam vel augue. Vestibulum rutrum rutrum neque. A","Goldenrod","XS","83","3415505804","27","2021-02-19 00:00:00","2020-12-10 00:00:00","145","27"
"134","Juice - Ocean Spray Cranberry","50.35","Quisque porta volutpat erat. Quisque erat eros, vi","Turquoise","L","68","8698924395","38","2020-08-14 00:00:00","2020-04-04 00:00:00","5","36"
"135","Energy Drink Red Bull","36.92","Aenean fermentum. Donec ut mauris eget massa tempo","Green","L","25","3971758282","13","2020-11-02 00:00:00","2021-08-08 00:00:00","31","72"
"136","Table Cloth 72x144 White","28.68","Morbi porttitor lorem id ligula. Suspendisse ornar","Indigo","XL","95","1889216097","36","2021-07-30 00:00:00","2021-01-09 00:00:00","3","97"
"137","Appetizer - Chicken Satay","22.18","Quisque porta volutpat erat. Quisque erat eros, vi","Fuscia","XL","22","3765687464","8","2021-09-19 00:00:00","2020-06-15 00:00:00","151","86"
"138","Artichoke - Fresh","4.28","Sed sagittis. Nam congue, risus semper porta volut","Green","S","100","6160174843","26","2021-08-13 00:00:00","2020-11-05 00:00:00","130","69"
"139","Mustard Prepared","83.32","Etiam vel augue. Vestibulum rutrum rutrum neque. A","Red","M","39","0874732158","49","2021-03-22 00:00:00","2021-03-19 00:00:00","19","66"
"140","Bread - Italian Corn Meal Poly","22.40","Morbi porttitor lorem id ligula. Suspendisse ornar","Puce","3XL","3","7892926216","31","2020-05-22 00:00:00","2020-08-11 00:00:00","123","70"
"141","Muffin - Carrot Individual Wrap","40.97","In quis justo. Maecenas rhoncus aliquam lacus. Mor","Blue","2XL","72","4630745165","5","2021-04-24 00:00:00","2020-12-21 00:00:00","43","31"
"142","Pork Salted Bellies","9.39","Proin interdum mauris non ligula pellentesque ultr","Blue","XS","96","0815815247","5","2021-09-11 00:00:00","2020-09-13 00:00:00","38","4"
"143","Bacardi Raspberry","75.80","Curabitur gravida nisi at nibh. In hac habitasse p","Fuscia","L","101","6630645081","10","2020-04-11 00:00:00","2021-12-07 00:00:00","36","3"
"144","Sobe - Berry Energy","63.98","Integer tincidunt ante vel ipsum. Praesent blandit","Turquoise","XL","88","8429877959","18","2021-01-02 00:00:00","2021-04-11 00:00:00","156","39"
"145","Pork Loin Bine - In Frenched","14.96","Praesent id massa id nisl venenatis lacinia. Aenea","Orange","S","88","7847781301","5","2020-09-01 00:00:00","2020-04-26 00:00:00","126","10"
"146","Sauce - Balsamic Viniagrette","53.18","Integer tincidunt ante vel ipsum. Praesent blandit","Green","XS","6","0933230125","46","2021-08-18 00:00:00","2020-07-06 00:00:00","128","85"
"147","Island Oasis - Mango Daiquiri","89.88","Mauris enim leo, rhoncus sed, vestibulum sit amet,","Aquamarine","L","101","5393199791","26","2020-11-16 00:00:00","2021-10-10 00:00:00","126","43"
"148","Wine - Clavet Saint Emilion","73.47","In hac habitasse platea dictumst. Etiam faucibus c","Turquoise","S","40","9284851971","7","2020-12-20 00:00:00","2020-09-24 00:00:00","18","35"
"149","Tea - Green","4.95","Integer ac leo. Pellentesque ultrices mattis odio.","Goldenrod","S","49","2166761348","31","2021-10-25 00:00:00","2022-01-16 00:00:00","124","83"
"150","Juice - Ocean Spray Cranberry","26.03","Vestibulum quam sapien, varius ut, blandit non, in","Pink","XL","100","0137088965","10","2020-05-23 00:00:00","2020-10-10 00:00:00","21","34"
